João Ramalho;4523
Santa Cruz da Conceição;4503
Murutinga do Sul;4486
Buritizal;4481
Onda Verde;4381
Sandovalina;4302
Ocauçu;4289
Cabrália Paulista;4264
Itapirapuã Paulista;4241
Iporanga;4218
Aparecida d'Oeste;4196
Caiabu;4191
Populina;4169
Alfredo Marcondes;4166
Monte Castelo;4166
Altair;4160
São José do Barreiro;4147
Anhumas;4115
Nova Luzitânia;4101
Alto Alegre;4099
Presidente Alves;4094
Pracinha;4093
Mariápolis;4084
Paranapuã;4078
Corumbataí;4055
Inúbia Paulista;3991
Nova Independência;3969
Suzanápolis;3963
Bom Sucesso de Itararé;3954
Indiaporã;3897
Areias;3886
Redenção da Serra;3851
Meridiano;3836
Itaju;3835
Quadra;3804
Macedônia;3698
Piquerobi;3692
Álvares Florence;3679
Elisiário;3651
Sarutaiá;3638
Rifaina;3629
Adolfo;3562
Platina;3550
Sebastianópolis do Sul;3513
Mombuca;3493
Barão de Antonina;3469
Águas de São Pedro;3451
Pongaí;3416
Queiroz;3406
Jumirim;3367
Ribeira;3340
Itaóca;3328
Alvinlândia;3222
Emilianópolis;3214
Jeriquara;3159
Rubinéia;3148
Nantes;3141
Rubiácea;3128
Magda;3119
Santo Expedito;3111
Pedrinhas Paulista;3093
Mira Estrela;3086
Marapoama;3031
Bento de Abreu;2980
Santa Mercedes;2939
Floreal;2917
Brejo Alegre;2865
São Francisco;2821
Taquaral;2811
Cândido Rodrigues;2793
Gabriel Monteiro;2776
Estrela do Norte;2766
Zacarias;2718
Florínea;2676
Timburi;2658
Borebi;2653
Lutécia;2649
Oscar Bressane;2603
Pontes Gestal;2577
São João das Duas Pontes;2568
Cássia dos Coqueiros;2523
Santa Rita d'Oeste;2498
Óleo;2496
Pedranópolis;2494
Arapeí;2469
Embaúba;2452
Sagres;2432
Torre de Pedra;2412
Lucianópolis;2394
Nova Guataporanga;2316
Lourdes;2289
Monções;2259
Ribeirão dos Índios;2225
Parisi;2161
Santa Cruz da Esperança;2139
Dolcinópolis;2115
Santa Clara d'Oeste;2115
Marinópolis;2112
São João do Pau d'Alho;2105
Cruzália;2073
Turiúba;2016
Guarani d'Oeste;2000
São João de Iracema;1922
Mesópolis;1908
Nova Canaã Paulista;1881
União Paulista;1844
Vitória Brasil;1840
Paulistânia;1833
Aspásia;1822
Dirce Reis;1793
Arco-Íris;1791
Turmalina;1727
Trabiju;1724
Fernão;1716
Santa Salete;1545
Santana da Ponte Pensa;1487
Flora Rica;1464
Nova Castilho;1267
Uru;1165
Borá;837
